site,date_collected,bromeliad_id,genus,distance_from_ground_cm,height_mm,width_mm,actual_volume_mL,water_holding_capacity_mL,longest_leaf_length_mm,detritus_g_coarse,detritus_g_fine,detritus_g_loose
las_lapas,19/09/2022,B2,guzmania,NA,22.4,78.4,200,340,NA,NA,0.05399999999999938,9.073
las_lapas,19/09/2022,B1,vriesea_guzmania,NA,32.9,63.2,150,NA,NA,0.19099999999999984,0.10099999999999998,6.787000000000001
las_lapas,19/09/2022,B,vriesea,NA,39.9,63,30,240,NA,0.2599999999999998,NA,23.606
las_lapas,19/09/2022,B3,guzmania,NA,40.5,60,180,200,NA,0.29100000000000037,0.2060000000000004,7.257
las_lapas,19/09/2022,B4,other,NA,38,46,100,200,NA,1.5919999999999996,1.8500000000000005,13.878
las_lapas,19/09/2022,B5,guzmania,NA,54,53,130,200,NA,0.4170000000000007,NA,8.515
las_lapas,19/09/2022,B6,guzmania,NA,36,46,70,220,NA,1.2650000000000006,0.9210000000000003,28.656000000000002
las_lapas,19/09/2022,B7,vriesea_guzmania,NA,70,104,20,100,NA,0.5359999999999996,0.5869999999999997,28.297000000000004
las_lapas,19/09/2022,C,vriesea_guzmania,NA,54,86.5,65,120,NA,0.5420000000000007,0.54,12.351
las_lapas,19/09/2022,A,guzmania,NA,49.5,31,0,205,NA,NA,NA,2.84
las_lapas,19/09/2022,D,vriesea_guzmania,NA,30,55.9,0,20,NA,0.19500000000000028,0.04100000000000037,9.945
las_lapas,19/09/2022,E,vriesea_guzmania,NA,41,61,NA,NA,NA,0.5919999999999996,0.1949999999999994,8.963
morne_bleu,20/09/2022,B10,guzmania,NA,15,73,140,210,NA,1.1950000000000003,0.577,11.579
morne_bleu,20/09/2022,B11,vriesea_guzmania,NA,32,86,60,100,NA,0.09299999999999997,0.5820000000000007,13.196
morne_bleu,20/09/2022,B12,vriesea_guzmania,NA,16,84,30,50,NA,NA,NA,NA
morne_bleu,20/09/2022,B13,vriesea,NA,24,70,150,200,NA,0.9279999999999999,0.2709999999999999,9.356
morne_bleu,20/09/2022,B14,vriesea_guzmania,NA,10.8,103,150,NA,NA,0.43299999999999983,0.5680000000000005,4.096
morne_bleu,20/09/2022,B15,vriesea_guzmania,NA,23,98,90,110,NA,0.7189999999999994,0.7540000000000004,7.023
morne_bleu,20/09/2022,B16,vriesea,NA,18,83,100,160,NA,0.1120000000000001,NA,6.948
morne_bleu,20/09/2022,B17,vriesea,NA,18,108,80,202,NA,1.577,0.6610000000000005,14.71
morne_bleu,20/09/2022,B18,vriesea_guzmania,NA,24,34,150,NA,NA,NA,NA,NA
arima_valley,21/09/2022,B20,guzmania,NA,16,45.5,120,220,NA,NA,NA,0.45399999999999974
arima_valley,21/09/2022,B21,vriesea_guzmania,NA,15,49.5,70,120,NA,NA,NA,0.9530000000000003
arima_valley,21/09/2022,B22,aechmea,NA,NA,NA,520,NA,NA,0.7349999999999994,NA,17.398000000000003
arima_valley,21/09/2022,B22_a,aechmea,NA,NA,29,109,450,NA,NA,NA,NA
arima_valley,21/09/2022,B22_b,aechmea,NA,NA,23,56,310,NA,NA,NA,NA
arima_valley,21/09/2022,B22_c,aechmea,NA,NA,27,109,660,NA,NA,NA,NA
arima_valley,21/09/2022,B23,tillandsia,NA,18.5,98.9,180,650,NA,0.12900000000000045,NA,2.3040000000000003
arima_valley,21/09/2022,B24,vriesea_guzmania,NA,17,49,20,NA,NA,0.27699999999999925,0.14400000000000013,5.128
arima_valley,21/09/2022,B25,vriesea_guzmania,NA,17,75,50,75,NA,0.051000000000000156,0.09199999999999964,1.209999999999999
arima_valley,21/09/2022,B26,vriesea_guzmania,NA,16,67,60,80,NA,NA,NA,NA
arima_valley,21/09/2022,B27,vriesea_guzmania,NA,12.5,47,20,100,NA,NA,NA,1.0830000000000002
arima_valley,21/09/2022,B28,vriesea_guzmania,NA,16,28.5,0,80,NA,NA,NA,0.016000000000000014
arima_valley,21/09/2022,B29,tillandsia,NA,20,47.5,10,250,NA,NA,NA,0.8850000000000007
marianne_river,22/09/2022,B30,guzmania,NA,9.4,50.7,0,140,NA,0.31099999999999994,0.08499999999999996,2.5599999999999996
marianne_river,22/09/2022,B31,guzmania,NA,10.2,75.9,NA,NA,NA,0.1800000000000006,0.03500000000000014,2.110999999999999
marianne_river,22/09/2022,B32,guzmania,NA,19,15.6,100,240,NA,0.14100000000000001,0.07599999999999962,15.494
marianne_river,22/09/2022,B33,guzmania,NA,12.5,81,60,150,NA,0.242,0.06599999999999984,4.772
marianne_river,22/09/2022,B34,guzmania,NA,14,88.5,90,200,NA,0.1739999999999995,0.017000000000000348,6.538
marianne_river,22/09/2022,B35,guzmania,NA,14,86.5,50,140,NA,0.13400000000000034,0.20899999999999963,4.54
marianne_river,22/09/2022,B36,vriesea,NA,14,112,60,200,NA,0.770999999999999,0.49299999999999944,7.723999999999999
marianne_river,22/09/2022,B37,guzmania,NA,13,71.3,60,100,NA,0.2659999999999991,0.14300000000000068,2.9090000000000007
marianne_river,22/09/2022,B38,guzmania,NA,11.9,74,70,170,NA,NA,0.2629999999999999,3.6719999999999997
marianne_river,22/09/2022,B39,vriesea_guzmania,NA,19,68,20,250,NA,0.12300000000000022,0.28999999999999915,10.398
marianne_river,22/09/2022,B40,guzmania,NA,12.1,72.8,0,130,NA,0.49400000000000066,0.18700000000000028,0.6550000000000002
brasso_seco,22/09/2022,B41,guzmania,NA,15.5,82.6,20,140,NA,NA,NA,0.09500000000000064
brasso_seco,22/09/2022,B42,guzmania,NA,9.9,61.6,40,100,NA,0.5530000000000008,0.395999999999999,2.081999999999999
brasso_seco,22/09/2022,B43,guzmania,NA,12,71,70,110,NA,0.30600000000000094,NA,3.2760000000000007
brasso_seco,22/09/2022,B44,guzmania,NA,14,67,30,60,NA,0.12899999999999956,NA,6.667999999999999
brasso_seco,22/09/2022,B45,guzmania,NA,12,62.5,0,70,NA,0.09100000000000019,NA,5.4479999999999995
brasso_seco,22/09/2022,B46,guzmania,NA,13,110,NA,NA,NA,0.5399999999999991,0.8860000000000001,11.096
brasso_seco,22/09/2022,B47,guzmania,NA,17,64,60,160,NA,0.10099999999999998,NA,6.462
brasso_seco,22/09/2022,B48,guzmania,NA,15,50,30,80,NA,0.07600000000000051,NA,1.677999999999999
brasso_seco,22/09/2022,B49,guzmania,NA,21,90,NA,NA,NA,0.0259999999999998,0.0860000000000003,15.668000000000001
F1,22/09/2022,F1,vriesea_guzmania,NA,NA,NA,0,NA,NA,NA,NA,NA
F2,22/09/2022,F2,vriesea_guzmania,NA,NA,NA,0,NA,NA,NA,NA,NA
F3-F5,22/09/2022,F3,guzmania,NA,15.4,57.2,0,200,NA,NA,NA,NA
F3-F5,22/09/2022,F4,vriesea_guzmania,NA,NA,NA,0,NA,NA,NA,NA,NA
F3-F5,22/09/2022,F5,vriesea_guzmania,NA,NA,NA,0,NA,NA,NA,NA,NA
F6,22/09/2022,F6,vriesea_guzmania,NA,NA,NA,0,NA,NA,NA,NA,NA
arima_valley,02/10/2022,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arima_valley,02/10/2022,B50,tillandsia,NA,14,87,10,140,NA,NA,NA,NA
arima_valley,02/10/2022,B51,vriesea_guzmania,NA,22,115,30,160,NA,NA,NA,NA
arima_valley,02/10/2022,B52,guzmania,NA,13,51,80,170,NA,NA,NA,NA
arima_valley,02/10/2022,B53,vriesea,NA,NA,NA,120,NA,NA,NA,NA,NA
arima_valley,02/10/2022,B53_a,vriesea,NA,27.6,173.5,NA,NA,NA,NA,NA,NA
arima_valley,02/10/2022,B53_b,vriesea,NA,19.6,174.2,100,NA,NA,NA,NA,NA
arima_valley,02/10/2022,B54,vriesea,NA,7.3,110.3,10,70,NA,NA,NA,NA
arima_valley,02/10/2022,B55,vriesea_guzmania,NA,10.2,193.4,50,120,NA,NA,NA,NA
arima_valley,02/10/2022,B56,guzmania,NA,8.1,41.1,0,NA,NA,NA,NA,NA
F7,03/10/2022,B57,guzmania,NA,NA,NA,140,NA,NA,NA,NA,NA
F7,03/10/2022,B57_a,guzmania,NA,28.1,77.1,NA,NA,NA,NA,NA,NA
F7,03/10/2022,B57_b,guzmania,NA,21.2,78.4,NA,NA,NA,NA,NA,NA
las_lapas,03/10/2022,B58,vriesea,NA,40.6,176.7,300,2000,97.9,NA,NA,NA
las_lapas,03/10/2022,B59,guzmania,NA,18,83,10,175,NA,NA,NA,NA
las_lapas,03/10/2022,B60,guzmania,NA,16,103,5,115,NA,NA,NA,NA
las_lapas,03/10/2022,B61,vriesea_guzmania,NA,12,73,5,50,NA,NA,NA,NA
las_lapas,03/10/2022,B62,other,NA,NA,NA,10,NA,NA,NA,NA,NA
las_lapas,03/10/2022,B62_a,other,NA,15,30.5,NA,NA,NA,NA,NA,NA
las_lapas,03/10/2022,B62_b,other,NA,10,30,NA,NA,NA,NA,NA,NA
las_lapas,03/10/2022,B63,guzmania,NA,13,78,20,50,NA,NA,NA,NA
las_lapas,03/10/2022,B64,guzmania,NA,12,69,0,50,NA,NA,NA,NA
las_lapas,03/10/2022,B65,guzmania,NA,13,75,5,80,NA,NA,NA,NA
brasso_seco,04/10/2022,B66,vriesea_guzmania,NA,23,80,50,170,NA,NA,NA,NA
brasso_seco,04/10/2022,B67,guzmania,NA,18,94,30,150,NA,NA,NA,NA
brasso_seco,04/10/2022,B68,guzmania,NA,24,69,60,220,NA,NA,NA,NA
brasso_seco,04/10/2022,B69,vriesea_guzmania,NA,22,89,70,230,NA,NA,NA,NA
brasso_seco,04/10/2022,B70,aechmea,NA,30,49,5,170,NA,NA,NA,NA
brasso_seco,04/10/2022,B71,vriesea_guzmania,NA,13,52,5,70,NA,NA,NA,NA
brasso_seco,04/10/2022,B72,guzmania,NA,16,70,10,180,NA,NA,NA,NA
brasso_seco,04/10/2022,B73,guzmania,NA,17,58,10,90,NA,NA,NA,NA
