bromeliad_id,Class,Order,Family,Subfamily,Genus,Species,n,stage
B,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,4,unknown
B,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,adult
B1,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,17,larva
B1,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,19,larva
B1,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp1,1,larva
B1,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B1,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,1,larva
B2,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,12,larva
B2,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,7,larva
B2,Hexapoda,Diptera,NA,NA,NA,sp1,1,larva
B2,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B2,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B2,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B2,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp3,1,larva
B2,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B2,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,3,larva
B2,Ostracoda,Podocopa,NA,NA,NA,sp1,6,unknown
B2,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,adult
B2,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B5,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,15,larva
B5,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,18,larva
B5,Hexapoda,Odonata,NA,NA,NA,sp1,2,larva
B5,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,pupa
B5,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,larva
B6,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,31,larva
B6,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,11,larva
B6,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,2,larva
B6,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B6,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B6,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp1,1,larva
B6,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B6,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B7,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B7,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B7,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B4,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,6,larva
B4,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,8,larva
B4,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,larva
B4,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B4,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B4,Hexapoda,Coleoptera,Curculionidae,NA,NA,sp1,1,larva
A,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
A,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,3,larva
A,Hexapoda,Diptera,Chironomidae,NA,NA,sp1,1,larva
D,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,12,larva
D,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
D,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
D,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,1,larva
C,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,4,larva
C,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp1,2,larva
C,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
C,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
C,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
C,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,4,larva
C,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B3,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B3,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,10,larva
B3,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B3,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B3,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B3,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B3,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,larva
E,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,8,larva
E,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,4,larva
E,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
E,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,larva
B17,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B17,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,57,larva
B17,Ostracoda,Podocopa,NA,NA,NA,sp1,10,unknown
B17,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B17,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,3,unknown
B17,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,3,larva
B17,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,pupa
B17,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B17,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,2,larva
B17,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B13,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,adult
B13,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B13,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B13,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,8,larva
B13,Ostracoda,Podocopa,NA,NA,NA,sp1,3,unknown
B13,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B12,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,4,larva
B12,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B12,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B12,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B12,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,1,larva
B18,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,17,unknown
B18,Copepoda,NA,NA,NA,NA,sp1,3,unknown
B18,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,2,larva
B18,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B18,Ostracoda,Podocopa,NA,NA,NA,sp1,2,unknown
